Item #,Quantity,Reference Des.,Description / Value,MFG Part #,LCSC Part #,Package,Description,Pads,Qty,,LABEL01,LABEL02,LABEL03,LABEL04,LABEL05,LABEL06,LABEL07,LABEL08,LABEL09,LABEL10,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MPN,OC_FARNELL,OC_NEWARK,POPULARITY,POPULATE,PROD_ID,SPICEPREFIX,TP_SIGNAL_NAME,URL,VALUE
35,1,U3,MCP73871,Microchip MCP73871-2CCI/ML ,C511310 ,QFN20_4MM,MCP73871 Lithium Polymer Battery Charger,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,U4,FAN5333BSX,FAN5333BSX ,C457660 ,SOT23-5@1,FAN5331 - LED/OLED 20V Boost Converter,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,U5,TPD3E001SOT5,TPD3E001DRLR ,C470828 ,SOT(5),,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,U6,MAX3232,MAX3232ECDR ,C414613 ,SO16,RS232 Transceiver,16,,16,,,,,,,,,,,,,,,,,,,,,IC-08171,,,,MAX3232
39,1,USB,TYPE-C-31-M-12,TYPE-C-31-M-12,C165948 ,TYPE-C-31-M-12,,12,,12,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,VREG,REG1117,REG1117A ,,SOT223,800mA and 1A Low Dropout (LDO) Positive Regulator,4,,4,,,,,,,,,,,,,,,,REG1117,1097566,14P6981,49,,,,,,
41,1,X1,NX3215SA-32.768K-STD-MUA-8,S3132768092070 ,C479190,XTAL3215,"Low cost SMT crystals, no capacitors included",2,,2,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,X2,DNP,DNP,,DNP,DUAL ROW STRAIGHT HEADER 1364 SERIES. 1.27mm x 1.27mm. Without Fixing Post. SMT,,,0,,,,,,,,,,,,,,,,,unknown,unknown,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,349,,,,,,,,,,,,,,,,,,,,,,,,,
